,symbol
0,CMCSA
1,KMI
2,INTC
3,MU
4,GE
5,BAC
6,AAPL
7,MSFT
8,SIRI
9,HPQ
10,CX
11,CZR
12,F
13,AMD
14,SNAP
15,FB
16,WFC
17,AIG
18,T
19,C
20,VALE
21,MS
22,JPM
23,ORCL
24,NKE
25,PG
26,GSM
27,BBD
28,PFE
29,JD
30,NOK
31,TWTR
32,AVGO
33,AMAT
34,ZNGA
35,XOM
36,QCOM
37,VIPS
38,CSCO
39,AXP
40,BMY
41,V
42,GRPN
43,GERN
44,KEY
45,RF
46,KR
47,HAL
48,BABA
49,MRO
50,GILD
51,GM
52,FCX
53,CRM
54,ATVI
55,SQ
56,NUE
57,SWN
58,LOW
59,RAD
60,VEON
61,SLB
62,FLEX
63,FOXA
64,ABBV
65,GIS
66,VZ
67,XRX
68,CVLT
69,X
70,MAT
71,DVN
72,IBN
73,MPC
74,PM
75,MSCI
76,RDN
77,KO
78,COP
79,CHK
80,DIS
81,LEN
82,CVX
83,PYPL
84,AUY
85,WMT
86,CLF
87,MRK
88,MDLZ
89,MGM
90,GFI
91,KGC
92,SCHW
93,NBR
94,NVDA
95,JNJ
96,WDC
97,BSX
98,ON
99,ITUB
100,BK
101,HMY
102,APA
103,HOME
104,NGD
105,KOS
106,DAL
107,INFY
108,CCL
109,MFGP
110,PBR
111,DISCA
112,LPI
113,ABT
114,FITB
115,PTEN
116,USB
117,BA
118,GGB
119,JBLU
120,EBAY
121,HBAN
122,DB
123,MRVL
124,WBA
125,CDNA
126,KNX
127,KBH
128,DISCK
129,PGR
130,MO
131,MDT
132,RIG
133,BCS
134,CDEV
135,EOG
136,HPE
137,TXN
138,OAS
139,OKE
140,CVS
141,HES
142,GDDY
143,BX
144,NLSN
145,TS
146,BOX
147,OXY
148,CVE
149,SYF
150,MTG
151,LUV
152,FTI
153,AA
154,ABEV
155,ETSY
156,TAL
157,UNH
158,GES
159,AMZN
160,NFLX
161,ENTG
162,CSX
163,WYNN
164,FOX
165,CNC
166,ZION
167,CLDR
168,RES
169,CI
170,WMB
171,SYNH
172,HBI
173,XL
174,PAYX
175,D
176,CHS
177,CFG
178,SU
179,MMM
180,BIIB
181,JBL
182,ACN
183,NTR
184,BRFS
185,SBUX
186,LVS
187,EGO
188,GSK
189,TEVA
190,PAA
191,VLO
192,IMAX
193,FNB
194,ADSK
195,HD
196,BIDU
197,AR
198,ARNC
199,VOYA
200,MLCO
201,SM
202,DHI
203,UAL
204,HRB
205,BTU
206,IPG
207,DE
208,KHC
209,COG
210,IBM
211,NYT
212,AAL
213,OLN
214,JCI
215,VST
216,NWL
217,EPD
218,KMB
219,AEP
220,IT
221,CAT
222,AU
223,XRAY
224,KKR
225,CMC
226,TMUS
227,NRG
228,CPB
229,ATHM
230,WRB
231,MOMO
232,TGT
233,TV
234,GLW
235,MAS
236,DOV
237,HRL
238,TECK
239,AES
240,PPL
241,SEE
242,FRC
243,STX
244,ADBE
245,K
246,M
247,TSLA
248,TSM
249,STL
250,NYCB
251,TRQ
252,BAH
253,MET
254,AFL
255,TPR
256,WPM
257,LNT
258,BTG
259,WLL
260,LKQ
261,PCG
262,CENX
263,CLR
264,IMGN
265,HL
266,LULU
267,UAA
268,CAG
269,STLD
270,PEP
271,SO
272,COST
273,GKOS
274,ZTO
275,GS
276,ADT
277,ALTR
278,EMR
279,CNP
280,ALXN
281,COTY
282,MA
283,AWI
284,ADP
285,BBVA
286,MNST
287,AER
288,GTN
289,CDE
290,NCR
291,PSTG
292,SJM
293,ETN
294,DUK
295,CL
296,IDRA
297,KAR
298,NEE
299,PXD
300,ADM
301,VMW
302,RIGL
303,DKS
304,WTI
305,LRCX
306,NXPI
307,CE
308,HUN
309,CSTM
310,GPK
311,TJX
312,KSS
313,XEC
314,DRI
315,ENDP
316,ATI
317,IAG
318,VFC
319,HON
320,YNDX
321,GOOGL
322,ICE
323,OMER
324,BLL
325,CGNX
326,AMGN
327,FSLR
328,IVZ
329,DG
330,SID
331,SLM
332,SLCA
333,SGU
334,ODP
335,TLGT
336,TOL
337,PDCO
338,Z
339,BCO
340,CME
341,BKD
342,PPBI
343,EXC
344,TAP
345,MON
346,UNP
347,BDX
348,GME
349,MX
350,LB
351,NCLH
352,NOV
353,CNDT
354,LMT
355,MTZ
356,WEN
357,GPS
358,SYY
359,FTV
360,BKI
361,CTSH
362,HOLX
363,EIX
364,CTXS
365,CPE
366,CF
367,PNC
368,SABR
369,WIT
370,LYB
371,DISH
372,MGA
373,AEO
374,BP
375,XEL
376,NTNX
377,VVV
378,HQY
379,ARCC
380,UPS
381,MUR
382,VMC
383,NOMD
384,ANTM
385,SFIX
386,GD
387,FNF
388,NWS
389,CHD
390,IP
391,SE
392,CC
393,DAN
394,ZBH
395,NVAX
396,LPX
397,BBY
398,GRUB
399,BG
400,LC
401,PWR
402,TNDM
403,DXCM
404,NTCT
405,NEM
406,BEN
407,SHLX
